timestamp,phase,phase_elapsed_s,inject_count,drone_drift_m,lio_sam_drift_m,drone_x,drone_y,drone_z,lio_x,lio_y,lio_z
2026-04-25T11:59:03.423041,baseline,0.49,0,,,,,,-0.01,0.018,3.626
2026-04-25T11:59:04.922846,baseline,1.99,0,,,-5.992,0.0,3.19,-0.004,0.012,2.754
2026-04-25T11:59:06.422891,baseline,3.49,0,,,-5.992,0.0,3.19,-0.007,0.012,2.919
2026-04-25T11:59:07.922721,baseline,4.99,0,,,-5.992,0.0,3.19,-0.008,0.011,2.751
2026-04-25T11:59:08.922816,baseline,5.99,0,,,-5.992,0.0,3.19,-0.009,0.01,2.732
2026-04-25T11:59:09.922820,baseline,6.99,0,,,-5.992,0.0,3.19,-0.008,0.01,2.734
2026-04-25T11:59:10.922833,baseline,7.99,0,,,-5.992,0.0,3.19,-0.004,0.011,2.753
2026-04-25T11:59:11.922881,baseline,8.99,0,,,-5.992,0.0,3.19,-0.006,0.01,2.739
2026-04-25T11:59:13.422834,baseline,10.49,0,,,-5.992,0.0,3.19,-0.008,0.009,2.725
2026-04-25T11:59:14.422834,baseline,11.49,0,,,-5.992,0.0,3.19,-0.008,0.009,2.715
2026-04-25T11:59:15.922772,baseline,12.99,0,,,-5.992,0.0,3.19,-0.003,0.01,2.702
2026-04-25T11:59:17.422823,baseline,14.49,0,,,-5.992,0.0,3.19,-0.001,0.01,2.697
2026-04-25T11:59:18.922680,attack,0.5,249,0.0,0.0,-5.992,0.0,3.19,-0.002,0.009,2.695
2026-04-25T11:59:19.922831,attack,1.5,749,0.0,0.002,-5.992,0.0,3.19,-0.003,0.01,2.693
2026-04-25T11:59:21.422745,attack,3.0,1499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:22.422754,attack,4.0,1999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:23.922721,attack,5.5,2749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:25.422725,attack,7.0,3499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:26.422768,attack,8.0,3999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:27.922757,attack,9.5,4749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:28.922781,attack,10.5,5249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:30.422731,attack,12.0,5999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:31.922765,attack,14.07,6749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:33.422800,attack,15.57,7499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:34.422802,attack,16.57,7999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:35.922741,attack,18.07,8749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:37.422743,attack,19.57,9499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:38.422769,attack,20.57,9999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:39.422796,attack,21.57,10499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:40.922729,attack,23.07,11249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:41.922754,attack,24.07,11749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:42.922839,attack,25.07,12249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:44.422792,attack,26.57,12999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:45.922664,attack,28.07,13749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:47.422782,attack,29.57,14499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:48.422788,attack,30.57,14999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:49.422792,attack,31.57,15499,0.01,0.007,-5.992,0.0,3.18,-0.004,0.008,2.689
2026-04-25T11:59:50.922815,attack,33.07,16249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:52.422793,attack,34.57,16999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:53.922738,attack,36.07,17749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:54.922744,attack,37.07,18249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:55.922768,attack,38.07,18749,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:56.922809,attack,39.07,19249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:58.422749,attack,40.57,19999,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T11:59:59.422750,attack,41.57,20499,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:00.922698,attack,43.07,21249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:01.922765,attack,44.07,21749,0.011,0.007,-5.992,-0.011,3.19,-0.004,0.008,2.689
2026-04-25T12:00:03.422758,recovery,0.5,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:03.922805,recovery,1.65,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:05.422742,recovery,3.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:06.422798,recovery,4.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:07.922762,recovery,5.65,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:09.422747,recovery,7.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:10.922821,recovery,8.65,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:12.422759,recovery,10.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:13.422836,recovery,11.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:14.922792,recovery,12.65,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:15.922809,recovery,13.65,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
2026-04-25T12:00:17.422795,recovery,15.15,22249,0.0,0.007,-5.992,0.0,3.19,-0.004,0.008,2.689
