scenario,n_drones,total_wp,gt_visited,reported_visited,coverage_gap,gap_pct,false_claims,mission_time_s
none,2,18,18,18,0,0.0,0,35.53
none,2,18,18,18,0,0.0,0,33.22
none,2,18,18,18,0,0.0,0,34.63
none,2,18,18,18,0,0.0,0,35.73
none,2,18,18,18,0,0.0,0,33.73
coverage_spoof,2,18,8,18,10,55.56,10,18.52
coverage_spoof,2,18,8,18,10,55.56,10,19.62
coverage_spoof,2,18,7,18,11,61.11,11,18.22
coverage_spoof,2,18,7,18,11,61.11,11,17.73
coverage_spoof,2,18,8,18,10,55.56,10,18.93
phantom_drone,2,18,9,18,9,50.0,9,22.22
phantom_drone,2,18,8,18,10,55.56,10,19.62
phantom_drone,2,18,7,18,11,61.11,11,18.23
phantom_drone,2,18,8,18,10,55.56,10,20.92
phantom_drone,2,18,8,18,10,55.56,10,18.93
selective_denial,2,18,9,18,9,50.0,9,19.33
selective_denial,2,18,9,18,9,50.0,9,19.42
selective_denial,2,18,9,18,9,50.0,9,20.92
selective_denial,2,18,9,18,9,50.0,9,20.22
selective_denial,2,18,9,18,9,50.0,9,19.42
interleaved,2,18,7,18,11,61.11,11,15.63
interleaved,2,18,6,18,12,66.67,12,13.03
interleaved,2,18,7,18,11,61.11,11,16.63
interleaved,2,18,6,18,12,66.67,12,13.32
interleaved,2,18,8,18,10,55.56,10,15.13
none,5,45,45,45,0,0.0,0,35.61
none,5,45,45,45,0,0.0,0,34.54
none,5,45,45,45,0,0.0,0,34.43
none,5,45,45,45,0,0.0,0,36.03
none,5,45,45,45,0,0.0,0,35.31
coverage_spoof,5,45,35,45,10,22.22,10,36.03
coverage_spoof,5,45,36,45,9,20.0,9,33.82
coverage_spoof,5,45,35,45,10,22.22,10,33.75
coverage_spoof,5,45,34,45,11,24.44,11,34.63
coverage_spoof,5,45,35,45,10,22.22,10,35.63
phantom_drone,5,45,35,45,10,22.22,10,36.02
phantom_drone,5,45,36,45,9,20.0,9,33.83
phantom_drone,5,45,35,45,10,22.22,10,33.75
phantom_drone,5,45,35,45,10,22.22,10,34.74
phantom_drone,5,45,35,45,10,22.22,10,35.64
selective_denial,5,45,35,45,10,22.22,10,36.02
selective_denial,5,45,37,45,8,17.78,8,35.12
selective_denial,5,45,36,45,9,20.0,9,33.72
selective_denial,5,45,35,45,10,22.22,10,34.74
selective_denial,5,45,35,45,10,22.22,10,35.63
interleaved,5,45,35,45,10,22.22,10,28.33
interleaved,5,45,35,45,10,22.22,10,27.15
interleaved,5,45,37,45,8,17.78,8,29.81
interleaved,5,45,36,45,9,20.0,9,29.62
interleaved,5,45,35,45,10,22.22,10,28.93
none,10,90,90,90,0,0.0,0,36.11
none,10,90,90,90,0,0.0,0,35.53
none,10,90,90,90,0,0.0,0,37.21
none,10,90,90,90,0,0.0,0,36.5
none,10,90,90,90,0,0.0,0,38.04
none,10,90,90,90,0,0.0,0,36.05
none,10,90,90,90,0,0.0,0,35.54
none,10,90,90,90,0,0.0,0,37.23
none,10,90,90,90,0,0.0,0,36.53
none,10,90,90,90,0,0.0,0,38.06
coverage_spoof,10,90,80,90,10,11.11,10,35.85
coverage_spoof,10,90,80,90,10,11.11,10,35.24
coverage_spoof,10,90,80,90,10,11.11,10,34.62
coverage_spoof,10,90,80,90,10,11.11,10,37.14
coverage_spoof,10,90,80,90,10,11.11,10,37.86
coverage_spoof,10,90,80,90,10,11.11,10,35.85
coverage_spoof,10,90,80,90,10,11.11,10,35.25
coverage_spoof,10,90,80,90,10,11.11,10,34.63
coverage_spoof,10,90,80,90,10,11.11,10,37.15
coverage_spoof,10,90,80,90,10,11.11,10,37.87
phantom_drone,10,90,80,90,10,11.11,10,35.84
phantom_drone,10,90,80,90,10,11.11,10,35.24
phantom_drone,10,90,80,90,10,11.11,10,34.61
phantom_drone,10,90,80,90,10,11.11,10,37.14
phantom_drone,10,90,80,90,10,11.11,10,37.85
phantom_drone,10,90,80,90,10,11.11,10,35.85
phantom_drone,10,90,80,90,10,11.11,10,35.18
phantom_drone,10,90,80,90,10,11.11,10,34.61
phantom_drone,10,90,80,90,10,11.11,10,37.13
phantom_drone,10,90,80,90,10,11.11,10,37.84
selective_denial,10,90,80,90,10,11.11,10,35.83
selective_denial,10,90,80,90,10,11.11,10,35.24
selective_denial,10,90,80,90,10,11.11,10,34.62
selective_denial,10,90,81,90,9,10.0,9,36.65
selective_denial,10,90,81,90,9,10.0,9,37.44
selective_denial,10,90,80,90,10,11.11,10,35.85
selective_denial,10,90,80,90,10,11.11,10,35.24
selective_denial,10,90,80,90,10,11.11,10,34.61
selective_denial,10,90,80,90,10,11.11,10,37.13
selective_denial,10,90,81,90,9,10.0,9,37.46
interleaved,10,90,90,90,0,0.0,0,36.09
interleaved,10,90,90,90,0,0.0,0,35.54
interleaved,10,90,90,90,0,0.0,0,37.22
interleaved,10,90,90,90,0,0.0,0,36.51
interleaved,10,90,90,90,0,0.0,0,38.05
interleaved,10,90,90,90,0,0.0,0,36.11
interleaved,10,90,90,90,0,0.0,0,35.53
interleaved,10,90,90,90,0,0.0,0,37.21
interleaved,10,90,90,90,0,0.0,0,36.52
interleaved,10,90,90,90,0,0.0,0,38.05
sybil_4phantoms,10,90,32,90,58,64.44,58,17.91
sybil_4phantoms,10,90,36,90,54,60.0,54,18.21
sybil_4phantoms,10,90,35,90,55,61.11,55,17.51
sybil_4phantoms,10,90,34,90,56,62.22,56,18.71
sybil_4phantoms,10,90,35,90,55,61.11,55,19.12
