rotation_rate_dps,run_id,attack_start_t,first_injection_t,first_fail_t,fail_signal,time_to_failure_s,duration_s
1.0,rate_1.0_run1,1776937853.339,1776937853.339,1776937854.014,waiting_for_imu_loop,0.675,16.563
1.0,rate_1.0_run2,1776938975.120,1776938975.120,1776938975.756,waiting_for_imu_loop,0.636,17.567
1.0,rate_1.0_run3,1776966876.063,1776966876.063,1776966876.972,waiting_for_imu_loop,0.909,17.570
2.0,rate_2.0_run1,1776969168.320,1776969168.320,1776969169.330,waiting_for_imu_loop,1.010,18.070
2.0,rate_2.0_run2,1776969912.353,1776969912.353,1776969913.160,waiting_for_imu_loop,0.807,18.068
2.0,rate_2.0_run3,1776973790.925,1776973790.925,1776973791.590,waiting_for_imu_loop,0.665,17.070
5.0,rate_5.0_run1,1776974205.579,1776974205.579,1776974205.870,waiting_for_imu_loop,0.291,17.066
5.0,rate_5.0_run2,1776974538.409,1776974538.409,1776974538.659,waiting_for_imu_loop,0.250,17.054
5.0,rate_5.0_run3,1776974906.331,1776974906.331,1776974906.737,waiting_for_imu_loop,0.406,17.062
0.5,rate_0.5_run1,1776976368.361,1776976368.361,1776976368.660,waiting_for_imu_loop,0.299,17.067
0.5,rate_0.5_run2,1776976710.153,1776976710.153,1776976710.497,waiting_for_imu_loop,0.344,17.072
0.5,rate_0.5_run3,1776977441.126,1776977441.126,1776977441.948,waiting_for_imu_loop,0.822,17.562
1.0,rate_1.0_run4,1777749883.978,1777749883.978,1777749884.470,waiting_for_imu_loop,0.492,17.572
1.0,rate_1.0_run5,1777751957.698,1777751957.698,1777751958.421,waiting_for_imu_loop,0.723,17.566
1.0,rate_1.0_run6,1777752366.944,1777752366.944,1777752367.494,waiting_for_imu_loop,0.550,17.562
1.0,rate_1.0_run7,1777752782.237,1777752782.237,1777752782.634,waiting_for_imu_loop,0.397,17.060
0.5,rate_0.5_run4,1777753293.926,1777753293.926,1777753294.996,waiting_for_imu_loop,1.070,17.561
0.5,rate_0.5_run5,1777753494.568,1777753494.568,1777753494.939,waiting_for_imu_loop,0.371,17.066
0.5,rate_0.5_run6,1777753894.958,1777753894.958,1777753895.718,waiting_for_imu_loop,0.759,17.568
0.5,rate_0.5_run7,1777754235.859,1777754235.859,1777754236.913,waiting_for_imu_loop,1.054,18.059
